username,password,sex,data,phone,close,desc,email
嘻嘻,123456,男,1990/9/9,13190909090,,,1600@qq.com
嘻嘻,123457,男,1990/9/10,13190910180,,,1601@qq.com
嘻嘻,123458,女,1990/9/11,13190911270,,,1602@qq.com
嘻嘻,123459,男,1990/9/12,13190912360,,,1603@qq.com
嘻嘻,123460,男,1990/9/13,13190913450,,,1604@qq.com
嘻嘻,123461,女,1990/9/14,13190914540,,,1605@qq.com
嘻嘻,123462,男,1990/9/15,13190915630,,,1606@qq.com
嘻嘻,123463,男,1990/9/16,13190916720,,,1607@qq.com
嘻嘻,123464,女,1990/9/17,13190917810,,,1608@qq.com
嘻嘻,123465,男,1990/9/18,13190918900,,,1609@qq.com
嘻嘻,123466,男,1990/9/19,13190919990,,,1610@qq.com
嘻嘻,123467,女,1990/9/20,13190921080,,,1611@qq.com
嘻嘻,123468,男,1990/9/21,13190922170,,,1612@qq.com
嘻嘻,123469,男,1990/9/22,13190923260,,,1613@qq.com
